Time,Temperature
-2,34
-1.5,34
-1,34
-0.5,34
0,36
0.5,43
1,43
1.5,43
2,44
2.5,44
3,44
3.5,44
4,44
4.5,44
5,44
5.5,44
6,44
6.5,45
7,44
7.5,44
8,44
8.5,45
9,45
9.5,45
10,45
10.5,45
11,45
11.5,45
12,45
12.5,45
13,45
13.5,45
14,45
14.5,45
15,45
15.5,45
16,45
16.5,45
17,45
17.5,45
18,45
18.5,45
19,45
19.5,45
20,45
20.5,45
21,45
21.5,45
22,45
22.5,45
23,46
23.5,46
24,46
24.5,46
25,46
25.5,46
26,46
26.5,46
27,46
27.5,46
28,46
28.5,46
29,46
29.5,46
30,46
30.5,46
31,46
31.5,46
32,46
32.5,46
33,46
33.5,46
34,46
34.5,46
35,46
35.5,46
36,46
36.5,46
37,46
37.5,46
38,46
38.5,46
39,46
39.5,46
40,46
40.5,46
41,47
41.5,46
42,46
42.5,47
43,47
43.5,47
44,47
44.5,47
45,47
45.5,47
46,47
46.5,46
47,47
47.5,47
48,47
48.5,47
49,47
49.5,47
50,47
50.5,47
51,47
51.5,47
52,47
52.5,47
53,47
53.5,47
54,47
54.5,47
55,47
55.5,47
56,47
56.5,47
57,47
57.5,47
58,47
58.5,47
59,47
59.5,47
60,47
60.5,47
61,47
61.5,47
62,47
62.5,47
63,47
63.5,47
64,47
64.5,47
65,47
65.5,48
66,48
66.5,47
67,47
67.5,47
68,48
68.5,47
69,48
69.5,48
70,48
70.5,48
71,48
71.5,48
72,48
72.5,48
73,48
73.5,48
74,48
74.5,48
75,48
75.5,48
76,48
76.5,48
77,48
77.5,48
78,48
78.5,48
79,48
79.5,48
80,48
80.5,48
81,48
81.5,48
82,48
82.5,48
83,48
83.5,48
84,48
84.5,48
85,48
85.5,48
86,48
86.5,48
87,48
87.5,48
88,48
88.5,48
89,48
89.5,48
90,48
90.5,48
91,48
91.5,48
92,48
92.5,48
93,48
93.5,48
94,48
94.5,48
95,48
95.5,48
96,49
96.5,49
97,48
97.5,48
98,49
98.5,48
99,49
99.5,48
100,49
100.5,49
101,49
101.5,49
102,49
102.5,49
103,49
103.5,49
104,49
104.5,49
105,49
105.5,49
106,49
106.5,49
107,49
107.5,49
108,49
108.5,49
109,49
109.5,49
110,49
110.5,49
111,49
111.5,49
112,49
112.5,49
113,49
113.5,49
114,49
114.5,49
115,49
115.5,49
116,49
116.5,49
117,49
117.5,49
118,49
118.5,49
119,49
119.5,49
120,49
120.5,49
121,49
121.5,49
122,49
122.5,49
123,49
123.5,49
124,49
124.5,49
125,49
125.5,49
126,49
126.5,49
127,49
127.5,49
128,49
128.5,49
129,49
129.5,49
130,49
130.5,49
131,49
131.5,49
132,49
132.5,49
133,49
133.5,49
134,49
134.5,49
135,50
135.5,50
136,50
136.5,50
137,50
137.5,50
138,50
138.5,50
139,50
139.5,50
140,50
140.5,50
141,49
141.5,50
142,50
142.5,50
143,50
143.5,49
144,50
144.5,50
145,50
145.5,50
146,50
146.5,50
147,50
147.5,50
148,50
148.5,50
149,50
149.5,50
150,50
150.5,50
151,50
151.5,50
152,50
152.5,50
153,50
153.5,50
154,50
154.5,50
155,50
155.5,50
156,50
156.5,50
157,50
157.5,50
158,50
158.5,50
159,50
159.5,50
160,50
160.5,50
161,50
161.5,50
162,50
162.5,50
163,50
163.5,50
164,50
164.5,50
165,50
165.5,50
166,50
166.5,50
167,50
167.5,50
168,50
168.5,50
169,50
169.5,50
170,50
170.5,50
171,50
171.5,50
172,50
172.5,50
173,50
173.5,50
174,50
174.5,50
175,50
175.5,50
176,50
176.5,50
177,50
177.5,50
178,50
178.5,50
179,51
179.5,50
180,50
180.5,51
181,50
181.5,50
182,50
182.5,50
183,50
183.5,50
184,51
184.5,50
185,50
185.5,50
186,51
186.5,51
187,50
187.5,50
188,50
188.5,50
189,50
189.5,50
190,50
190.5,50
191,51
191.5,50
192,50
192.5,50
193,51
193.5,50
194,51
194.5,51
195,51
195.5,51
196,51
196.5,51
197,51
197.5,51
198,51
198.5,51
199,51
199.5,51
200,51
200.5,51
201,51
201.5,51
202,51
202.5,51
203,51
203.5,51
204,51
204.5,51
205,51
205.5,51
206,51
206.5,51
207,51
207.5,51
208,51
208.5,51
209,51
209.5,51
210,51
210.5,51
211,51
211.5,51
212,51
212.5,51
213,51
213.5,51
214,51
214.5,51
215,51
215.5,51
216,51
216.5,51
217,51
217.5,51
218,51
218.5,51
219,51
219.5,51
220,51
220.5,51
221,51
221.5,51
222,51
222.5,51
223,51
223.5,51
224,51
224.5,51
225,51
225.5,51
226,51
226.5,51
227,51
227.5,51
228,51
228.5,51
229,51
229.5,51
230,51
230.5,51
231,51
231.5,51
232,51
232.5,51
233,51
233.5,51
234,51
234.5,51
235,51
235.5,51
236,51
236.5,51
237,51
237.5,51
238,51
238.5,51
239,51
239.5,51
240,51
240.5,51
241,51
241.5,51
242,51
242.5,51
243,51
243.5,51
244,51
244.5,51
245,51
245.5,51
246,51
246.5,51
247,51
247.5,51
248,51
248.5,51
249,51
249.5,51
250,52
250.5,51
251,51
251.5,51
252,51
252.5,51
253,51
253.5,51
254,51
254.5,52
255,51
255.5,52
256,51
256.5,52
257,51
257.5,52
258,52
258.5,51
259,51
259.5,51
260,52
260.5,51
261,51
261.5,51
262,52
262.5,52
263,51
263.5,52
264,52
264.5,52
265,52
265.5,52
266,52
266.5,52
267,52
267.5,52
268,52
268.5,52
269,52
269.5,52
270,52
270.5,52
271,52
271.5,52
272,52
272.5,52
273,52
273.5,51
274,52
274.5,52
275,52
275.5,52
276,52
276.5,52
277,52
277.5,52
278,52
278.5,52
279,52
279.5,52
280,52
280.5,52
281,52
281.5,52
282,52
282.5,52
283,52
283.5,52
284,52
284.5,52
285,52
285.5,52
286,52
286.5,52
287,52
287.5,52
288,52
288.5,52
289,52
289.5,52
290,52
290.5,52
291,52
291.5,52
292,52
292.5,52
293,52
293.5,52
294,52
294.5,52
295,52
295.5,52
296,52
296.5,52
297,52
297.5,52
298,52
298.5,52
299,52
299.5,52
300,52
